custId,date,amountPaid
gd,2021-01-01,20
gd,2021-02-01,20
gd,2021-03-01,20
gd,2021-04-01,20
gd,2021-05-01,20
gd,2021-06-01,20
gd,2021-07-01,20
gd,2021-08-01,20
gd,2021-09-01,20
gd,2021-10-01,20
gd,2021-11-01,20
gd,2021-12-01,20
gd,2022-01-01,20
gd,2022-02-01,20
gd,2022-03-01,20
gd,2022-04-01,20
gd,2022-05-01,20
gd,2022-06-01,20
gt,2021-03-06,50
gt,2021-04-03,50
gt,2021-05-05,50
gt,2021-06-02,50
gt,2021-07-07,50
gt,2021-08-03,50
gt,2021-09-04,50
gt,2021-10-01,50
gt,2021-11-03,50
gt,2021-12-02,50
gt,2022-01-05,50
gt,2022-02-06,50
gt,2022-03-02,50
gt,2022-04-01,50
gt,2022-05-03,50
gt,2022-06-02,50
np,2021-10-01,30
np,2021-12-01,60
np,2022-01-01,30
np,2022-04-01,30
np,2022-05-01,30
np,2022-06-01,30
pp,2022-01-01,10
pp,2022-02-01,10
pp,2022-03-01,10
pp,2022-04-01,10
pp,2022-05-01,10
pp,2022-06-01,10
prep,2022-02-01,100
prep,2022-03-01,50
prep,2022-04-01,40
prep,2022-05-01,30
prep,2022-06-01,20
lt,2021-01-01,10
lt,2021-02-01,10
lt,2021-03-01,10
lt,2021-04-01,10
lt,2021-05-01,10
lt,2021-06-01,10
lt,2021-07-01,10
lt,2021-08-01,10
